month,year,daily_temp,daily_rain,daily_hum,daily_press,daily_windDir,daily_windSp,daily_DHI,daily_DNI,daily_GHI
8,2021,24.6,22.0,56.5,990.0,294.9,3.5,127.5,513.5,456.1
9,2019,22.6,30.9,68.0,994.4,274.9,2.6,139.8,431.6,363.6
5,2021,16.0,16.7,61.3,990.3,257.5,7.0,132.9,507.7,493.7
12,2020,14.2,13.5,73.8,997.6,91.1,1.3,64.0,486.0,226.0
9,2019,24.2,23.7,48.2,987.0,215.3,2.4,153.9,434.9,424.4
12,2020,8.2,8.8,64.2,985.8,270.7,3.4,103.5,291.4,198.6
2,2020,12.3,13.5,63.2,997.5,282.6,5.7,91.8,492.1,317.8
1,2021,6.9,11.1,80.7,983.4,215.0,3.1,118.3,12.5,122.3
9,2019,23.2,26.7,70.1,994.8,283.0,2.8,204.4,222.7,294.7
7,2021,26.5,24.4,49.5,991.6,258.3,3.7,106.6,607.3,537.1
3,2020,13.0,14.4,72.4,991.2,272.9,3.0,198.2,223.2,322.2
3,2021,11.5,8.7,69.9,994.8,295.4,4.7,132.2,499.4,374.6
7,2021,24.6,21.3,49.6,992.5,283.4,3.7,113.3,630.9,545.7
8,2021,24.3,27.0,55.0,989.8,276.2,5.5,108.8,571.9,495.3
7,2020,28.6,24.3,33.1,990.1,244.7,2.8,106.7,609.3,520.9
6,2020,19.9,23.8,58.0,985.5,291.0,3.9,153.5,550.9,517.5
8,2021,24.9,25.4,53.7,991.1,242.0,2.7,125.5,462.9,435.7
11,2019,18.1,23.8,72.7,989.6,242.4,1.6,146.5,309.5,263.7
11,2020,18.0,18.7,64.8,1000.7,57.5,2.4,65.2,557.1,300.3
4,2020,16.2,12.4,60.3,991.2,199.1,1.9,108.9,602.3,483.6
4,2021,16.6,20.6,72.3,983.9,230.7,4.4,199.7,189.9,304.2
11,2019,13.3,16.4,77.0,980.8,261.4,4.5,140.6,7.4,143.5
9,2020,22.3,19.3,51.6,989.6,268.2,2.5,244.1,117.4,305.6
10,2021,18.4,15.0,56.7,1000.8,221.7,2.0,80.3,564.6,337.1
4,2021,12.7,10.8,62.0,991.8,256.6,2.4,205.7,421.1,450.6
12,2019,12.1,10.2,65.6,988.2,89.4,4.4,57.9,535.0,241.0
1,2021,7.6,8.7,68.5,988.2,275.2,2.8,91.9,308.4,195.7
6,2020,25.0,20.7,42.6,992.3,224.3,2.8,95.3,683.5,561.5
1,2020,12.1,17.2,82.8,996.3,213.8,2.5,96.4,417.2,261.5
9,2020,23.4,27.7,56.5,990.3,237.3,2.6,173.8,263.2,301.9
5,2021,17.1,16.2,55.4,993.6,284.3,3.7,143.4,503.9,504.7
5,2020,18.1,26.4,77.8,987.3,303.3,3.0,277.1,124.3,341.6
7,2021,27.6,25.7,44.5,993.8,260.6,2.9,115.9,591.8,521.2
8,2020,29.2,28.5,50.1,987.6,275.2,3.7,121.3,506.9,486.9
1,2020,11.5,13.9,70.5,994.7,195.5,1.4,75.4,462.5,258.9
4,2020,17.0,30.7,81.7,992.6,121.2,1.2,191.3,76.9,227.2
1,2021,10.1,10.2,71.4,1000.6,261.0,3.2,94.3,343.4,229.9
8,2020,26.5,31.8,56.3,987.5,274.1,2.5,165.9,411.0,411.9
6,2020,26.6,28.2,48.9,990.7,233.0,2.4,183.3,465.3,501.9
6,2020,21.6,23.3,56.1,990.7,269.6,5.3,167.5,491.5,508.5
10,2019,19.0,25.4,76.2,994.6,240.2,2.9,146.6,239.3,244.8
12,2019,12.7,14.6,73.9,990.9,294.9,7.4,118.9,183.3,187.2
10,2021,22.1,25.7,58.8,992.0,284.7,2.1,209.8,110.8,250.8
11,2020,9.6,6.2,60.8,999.8,66.2,7.5,56.0,639.9,286.2
6,2020,20.8,25.0,53.2,992.7,240.6,2.4,104.7,0.1,104.7
3,2020,10.3,9.7,61.4,982.5,280.1,10.1,201.2,237.9,344.8
2,2021,12.8,16.8,81.3,976.3,222.7,4.8,122.7,6.0,124.0
3,2020,13.8,16.9,71.9,988.5,237.4,1.8,257.2,52.8,286.5
6,2020,21.8,21.2,60.6,992.1,279.3,5.2,110.1,604.5,544.6
1,2020,13.9,15.4,74.6,1001.7,104.5,3.2,114.7,202.3,198.7
6,2020,19.8,24.3,57.7,990.9,302.7,2.6,192.7,145.1,269.9
11,2021,14.2,17.9,69.3,989.0,198.5,2.0,137.7,96.0,166.8
7,2020,27.5,22.6,38.1,991.3,248.2,2.8,81.7,672.5,530.5
3,2021,11.4,21.9,92.4,986.6,80.4,1.3,108.2,0.0,108.2
5,2020,19.9,17.4,48.9,991.0,197.5,2.6,107.1,658.9,550.9
2,2021,12.0,12.4,71.7,997.3,224.9,1.3,69.2,662.2,366.4
5,2020,22.4,15.7,43.9,998.7,46.2,3.1,88.0,687.2,551.1
3,2021,8.0,12.6,79.6,984.2,129.5,2.9,186.2,15.1,190.4
6,2021,28.0,28.6,38.3,990.8,202.9,2.4,217.9,278.9,455.3
4,2020,17.3,18.7,70.5,989.6,221.1,5.7,190.7,383.3,429.5
4,2020,16.0,14.5,67.5,990.0,264.1,5.2,85.1,584.4,489.7
3,2020,10.8,13.9,77.2,989.2,288.1,7.0,171.3,42.2,193.3
5,2020,18.1,20.0,69.3,990.0,246.3,6.4,99.5,558.7,492.9
9,2021,23.5,24.3,64.5,993.8,297.2,3.1,199.1,195.3,307.2
1,2020,10.0,7.6,77.9,1006.7,254.9,1.6,88.8,436.0,226.3
8,2020,25.2,21.6,48.9,991.6,278.9,3.6,66.3,635.7,462.5
11,2020,17.7,27.4,78.9,992.6,256.7,4.7,90.2,0.0,90.2
5,2021,16.0,22.5,76.9,988.2,221.7,5.8,198.9,82.0,272.3
7,2020,24.0,17.6,53.9,986.6,265.9,3.5,101.9,655.7,552.7
